trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",30,0,-151.605896262257,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.99}",20,0,-69.79238245133214,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.985}",20,0,-76.8074382527008,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.98}",25,0,-92.01526241831243,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.975}",20,0,-174.31085689275588,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.97}",25,0,-212.9836907173996,"{0: 10, 1: 1, 2: 10, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.965}",25,2,-125.7142253397876,"{0: 15, 1: 1, 2: 4, 3: 1, 4: 2}",1
8,False,"{'a': 0.5, 'e': 0.96}",20,0,-79.67378872756427,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.955}",25,2,-134.55872267265954,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 3}",1
10,False,"{'a': 0.5, 'e': 0.95}",20,0,-151.16813890358074,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.945}",20,0,-60.20895269292064,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.94}",30,0,-160.6867444336578,"{0: 20, 1: 3, 2: 4, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.9349999999999999}",20,0,-114.03525266545246,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9299999999999999}",20,0,-87.37671006066041,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9249999999999999}",20,12,-46.4461682073146,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.9199999999999999}",30,17,-57.640823770968325,"{0: 7, 1: 4, 2: 1, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.9149999999999999}",25,0,-47.79637179374426,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9099999999999999}",20,0,-183.88412590466356,"{0: 6, 1: 3, 2: 6, 3: 4, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9049999999999999}",25,0,-96.93848311563791,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-53.993261036009855,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.8949999999999999}",20,0,-54.92649084381943,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.8899999999999999}",25,8,-36.653048965548344,"{0: 13, 1: 3, 2: 0, 3: 0, 4: 1}",1
23,False,"{'a': 0.5, 'e': 0.8849999999999999}",25,0,-53.143802255095075,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.8799999999999999}",25,0,-125.1649778163332,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.8749999999999999}",20,0,-213.8499737038523,"{0: 8, 1: 3, 2: 5, 3: 0, 4: 4}",0
26,False,"{'a': 0.5, 'e': 0.8699999999999999}",20,0,-8.946189857704706,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.8649999999999999}",20,0,-20.946279220520694,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.8599999999999999}",25,6,-92.79984977600495,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 2}",1
29,False,"{'a': 0.5, 'e': 0.8549999999999999}",20,0,-107.58193885424487,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-39.594746675454736,"{0: 21, 1: 5, 2: 4, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.8449999999999999}",25,12,0.2990397214941012,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.8399999999999999}",25,0,-200.96792949622233,"{0: 14, 1: 2, 2: 4, 3: 2, 4: 3}",0
33,False,"{'a': 0.5, 'e': 0.8349999999999999}",20,0,-139.725027474327,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
34,False,"{'a': 0.5, 'e': 0.8299999999999998}",20,0,-50.86517180139828,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.8249999999999998}",25,0,-183.38861171781812,"{0: 15, 1: 1, 2: 4, 3: 2, 4: 3}",0
36,False,"{'a': 0.5, 'e': 0.8199999999999998}",20,3,-90.97753575978562,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 2}",1
37,False,"{'a': 0.5, 'e': 0.8149999999999998}",20,0,-195.87057834767802,"{0: 11, 1: 0, 2: 3, 3: 3, 4: 3}",0
38,False,"{'a': 0.5, 'e': 0.8099999999999998}",20,7,-66.73723421241498,"{0: 7, 1: 2, 2: 3, 3: 0, 4: 1}",1
39,False,"{'a': 0.5, 'e': 0.8049999999999998}",20,0,-120.4784681493991,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
40,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-53.614154511430186,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.7949999999999998}",20,0,-112.60086726002676,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.7899999999999998}",25,4,0.10871136632487954,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.7849999999999998}",30,0,-180.40126861354284,"{0: 21, 1: 1, 2: 4, 3: 0, 4: 4}",0
44,False,"{'a': 0.5, 'e': 0.7799999999999998}",25,0,-244.23850844898402,"{0: 13, 1: 1, 2: 5, 3: 2, 4: 4}",0
45,False,"{'a': 0.5, 'e': 0.7749999999999998}",20,11,-31.98392530836178,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
46,False,"{'a': 0.5, 'e': 0.7699999999999998}",25,0,-68.57631903990844,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.7649999999999998}",20,0,-58.05354334292877,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.7599999999999998}",30,0,-114.81943406816984,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
49,False,"{'a': 0.5, 'e': 0.7549999999999998}",25,8,-80.97430956307103,"{0: 10, 1: 0, 2: 6, 3: 0, 4: 1}",1
50,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,8,-53.47674389693823,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 1}",1
51,False,"{'a': 0.5, 'e': 0.7449999999999998}",25,0,-33.33831103488291,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.7399999999999998}",20,0,16.04119374074844,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.7349999999999998}",20,0,-92.37929270285076,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
54,False,"{'a': 0.5, 'e': 0.7299999999999998}",20,12,12.076884612329724,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.7249999999999998}",20,0,-98.19167499236583,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.7199999999999998}",30,0,-51.367488808634235,"{0: 23, 1: 1, 2: 4, 3: 2, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.7149999999999997}",25,0,-97.94661078174235,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
58,False,"{'a': 0.5, 'e': 0.7099999999999997}",20,4,-66.01531855261774,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 1}",1
59,False,"{'a': 0.5, 'e': 0.7049999999999997}",20,0,-30.377518149202665,"{0: 16, 1: 2, 2: 0, 3: 2, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,11,2.0658394466889147,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.6949999999999997}",20,0,-56.73966570255705,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.6899999999999997}",25,0,-152.8817229358892,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
63,False,"{'a': 0.5, 'e': 0.6849999999999997}",25,0,1.2952987246543772,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.6799999999999997}",20,1,-68.05175806241996,"{0: 14, 1: 2, 2: 0, 3: 2, 4: 1}",1
65,False,"{'a': 0.5, 'e': 0.6749999999999997}",20,6,-60.508884287214585,"{0: 8, 1: 3, 2: 2, 3: 0, 4: 1}",1
66,False,"{'a': 0.5, 'e': 0.6699999999999997}",30,0,-57.732669633711076,"{0: 20, 1: 3, 2: 7, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.6649999999999997}",25,11,-41.5651631721484,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
68,False,"{'a': 0.5, 'e': 0.6599999999999997}",20,8,-97.61833244071565,"{0: 6, 1: 2, 2: 2, 3: 0, 4: 2}",1
69,False,"{'a': 0.5, 'e': 0.6549999999999997}",25,3,-9.749234391769601,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-12.079756468786485,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.6449999999999997}",25,0,-133.8336123980061,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
72,False,"{'a': 0.5, 'e': 0.6399999999999997}",20,16,8.658169015104136,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.6349999999999997}",30,6,-22.99300422796307,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.6299999999999997}",25,0,-248.9085067758167,"{0: 13, 1: 1, 2: 4, 3: 3, 4: 4}",0
75,False,"{'a': 0.5, 'e': 0.6249999999999997}",25,14,-6.747589699273026,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.6199999999999997}",20,15,-0.8897963152160135,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
