trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,8,-98.49854868576062,"{0: 6, 1: 2, 2: 2, 3: 0, 4: 2}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-148.80416255940693,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,7,-41.81901103117081,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-266.28375300153573,"{0: 7, 1: 0, 2: 5, 3: 5, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.56750695563586,"{0: 11, 1: 0, 2: 9, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-145.65512488321912,"{0: 11, 1: 3, 2: 2, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,9,-50.74100643567777,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.71726621090053,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-141.22547203091298,"{0: 11, 1: 3, 2: 2, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-129.23204272967988,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-175.79310858829612,"{0: 8, 1: 5, 2: 4, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-137.85799832765463,"{0: 12, 1: 3, 2: 1, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,3,-100.10108287976466,"{0: 10, 1: 1, 2: 3, 3: 2, 4: 1}",1
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-205.3229425097015,"{0: 6, 1: 3, 2: 6, 3: 3, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-158.9928897317664,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,2,-121.68700927169179,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 3}",1
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-158.860157281551,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.58588645634666,"{0: 11, 1: 4, 2: 1, 3: 3, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,1,-152.3442067359545,"{0: 8, 1: 5, 2: 2, 3: 2, 4: 2}",1
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-150.23386918144467,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-136.82161981406375,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-145.10271694409127,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-138.92666768179697,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-129.87451274571035,"{0: 12, 1: 3, 2: 1, 3: 2, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-96.56978433876405,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,1,-46.620523290833475,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 0}",1
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-233.72431287343082,"{0: 7, 1: 3, 2: 4, 3: 3, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,14,-16.91870429180926,"{0: 4, 1: 1, 2: 0, 3: 1, 4: 0}",1
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-94.08344282393834,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-203.1810425170434,"{0: 9, 1: 3, 2: 4, 3: 0, 4: 4}",0
